# timing results for KS-CNAB2 benchmark runs
# Lx = Nx/16*pi domain
# dt = 1/16
# T = 200

# Run on one core of timaeus, a six-core Intel(R) Core(TM) i7-3960X CPU @ 3.30GHz
# openSUSE Leap 42.2 "Harlequin", kernel 4.4.73-18.17-default
# 
#      c == clang -O3, 3.8.0 x86_64-unknown-linux-gnu,      run 2017-07-26
#    c++ == clang -O3, 3.8.0 x86_64-unknown-linux-gnu,      run 2017-07-26
# matlab == 9.2.0.556344 (R2017a) GLNXA64, single threaded, run 2017-07-12
# octave == Octave 4.0.3, multithreaded                     run 2017-07-12
# python == Python 2.7.8,                                   run 2017-07-20
# chflow == channelflow-1.4.2-dev
#  julia == julia-0.7-DEV -O3 (2017-06-19 13:05 UTC)        run 2017-07-24
#fortran == gfortran -O3 (SUSE Linux) 4.8.3 20140627        run 2017-07-24
#   fftw == fftw3-devel-3.3.5-1.7.x86_64

# JuliaNV == Julia naive
# JuliaIP == Julia in-place
# JuliaUR == Julia unrolled

#1     2	 3	  4	   5	   6	  7	 8	9	10	 11
#Nx    Fortran90 C        C++      Matlab  Octave Python Chflow JuliaNV JuliaIP	 JuliaUR
32     0.00141   0.00128  0.00130  0.0169  0.121  0.082  0.093  0.0849  0.00178	 0.00123       
64     0.00245   0.00321  0.00321  0.0214  0.197  0.088  0.097  0.127   0.00412	 0.00317	 
128    0.00488   0.00570  0.00551  0.0293  0.169  0.098  0.182  0.131   0.00682	 0.00502	 
256    0.0103    0.0120   0.0123   0.0501  0.236  0.115  0.194  0.147   0.0144	 0.0107	 
512    0.0214    0.0263   0.0258   0.0840  0.287  0.160  0.237  0.176   0.0283	 0.0215	 
1024   0.0469	 0.0553	  0.0553   0.154   0.330  0.242	 0.261	0.233   0.0594	 0.0454	 
2048   0.103	 0.125	  0.121	   0.298   0.438  0.414	 0.305	0.345   0.130	 0.101	 
4096   0.271	 0.312	  0.287	   0.591   0.677  0.741	 0.411	0.593   0.307	 0.247	 
8192   0.588	 0.653	  0.656	   1.20	   1.16	  1.56	 0.624	1.11	0.661	 0.544	 
16384  1.25	 1.37	  1.45	   2.50	   2.28	  3.61	 1.107	2.17	1.40	 1.19		 
32768  2.72	 3.20	  2.94	   5.06	   4.02	  6.37	 2.499	4.43	3.09	 2.67		 
65536  5.82	 6.59	  6.58	   12.0	   7.96	  15.6	 5.04	10.1	6.63	 6.16		 
131072 13.2 	 14.6 	  14.4	   26.8	   19.3	  35.7	 9.73 	23.1	15.5	 13.6		 
